Rank_x,Player,Team_x,Age_x,Gp_x,W_x,L_x,Min_x,Pts,Fgm_x,Fga_x,Fg%,3Pm,3Pa,3P%,Ftm,Fta,Ft%,Oreb,Dreb,Reb,Ast,Tov,Stl,Blk,Pf,Fp,Dd2,Td3,Plus/Minus,Year_x,Rank_y,Team_y,Age_y,Gp_y,W_y,L_y,Min_y,Usg%,%Fgm,%Fga,%3Pm,%3Pa,%Ftm,%Fta,%Oreb,%Dreb,%Reb,%Ast,%Tov,%Stl,%Blk,%Blka,%Pf,%Pfd,%Pts,Pos_x,Body Fat %,Hand Length (Inches),Hand Width (Inches),Height W/O Shoes,Height W/ Shoes,Standing Reach,Weight (Lbs),Wingspan,Pos_y,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press,Unnamed: 8,Position,Fgm_y,Fga_y,Fgm.1,Fga.1,Fgm.2,Fga.2,Fgm.3,Fga.3,Fgm.4,Fga.4,Team,Startdate,Enddate,Injurylengthdays,Injurynotes,Injurytype,Year_y
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2010-11-21,2011-01-14,54.0,activated from IL,,2010.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2011-02-07,2011-03-31,52.0,activated from IL,,2011.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2011-04-01,2011-04-03,2.0,activated from IL,,2011.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2011-04-08,2011-04-10,2.0,activated from IL,,2011.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2011-04-11,2011-04-17,6.0,activated from IL,,2011.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2013-01-02,2014-01-24,387.0,activated from IL,,2013.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2014-01-31,2014-02-19,19.0,activated from IL,,2014.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2014-03-09,2014-12-12,278.0,activated from IL,,2014.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2014-12-15,2015-03-06,81.0,activated from IL,,2014.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2015-03-11,2015-04-15,35.0,activated from IL,,2015.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2015-04-19,2015-11-11,206.0,activated from IL,,2015.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2015-11-13,2016-01-04,52.0,activated from IL,,2015.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2016-01-10,2016-04-19,100.0,activated from IL,,2016.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2017-01-16,2017-01-21,5.0,activated from IL,,2017.0
