Player_clean,Career_Arc,Perf_Tier,Seasons_Played,Avg_PPG,Injury_Count,Avg_Injury_Days,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),WEIGHT (LBS),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press
brandan wright,Late (8+ yrs),50–75%,8,0.20337374821491971,5,133.2,0.058,,,200.0,11.76,,3.31,30.5,35.5,2.0
brandin podziemski,Early (1–3 yrs),25–50%,2,0.15356841216216216,0,,,8.25,10.0,203.8,11.16,3.2,3.21,31.5,39.0,
brandon bass,Late (8+ yrs),25–50%,8,0.1330071997955475,0,,0.093,,,246.0,11.61,,3.24,31.5,33.0,18.0
brandon clarke,Mid (4–7 yrs),Top 25%,6,0.4562148704577292,5,40.4,0.049,8.25,9.5,207.2,10.61,3.05,3.15,34.0,40.5,10.0
brandon knight,Late (8+ yrs),Top 25%,9,0.35741231813454033,3,25.666666666666668,0.042,8.25,9.5,176.8,10.74,,3.07,29.0,37.5,10.0
brandon miller,Early (1–3 yrs),Top 25%,2,0.5057807807807808,0,,,,,,,,,,,
brandon roy,Early (1–3 yrs),Top 25%,3,0.5834478996181124,2,356.0,0.076,,,207.0,11.13,,3.27,34.0,40.5,6.0
brandon rush,Late (8+ yrs),Top 25%,8,0.5164318991576924,5,58.0,,,,211.4,11.33,,3.31,32.5,35.0,
brendan haywood,Mid (4–7 yrs),Bottom 25%,5,0.08113870949936523,2,94.0,0.129,,,266.0,12.87,,3.5,27.0,28.5,17.0
brian cook,Early (1–3 yrs),Bottom 25%,3,0.09715277777777777,1,42.0,0.105,,,234.0,11.87,,3.45,25.0,29.0,6.0
brian scalabrine,Early (1–3 yrs),Bottom 25%,3,0.043080993080993085,3,5.666666666666667,0.136,,,241.0,11.75,,3.47,27.0,30.5,14.0
brice johnson,Early (1–3 yrs),Top 25%,2,0.2833333333333333,1,272.0,0.075,9.0,8.25,208.6,11.88,2.94,3.2,33.5,38.0,
brice sensabaugh,Early (1–3 yrs),50–75%,2,0.1939480633802817,0,,,,,,,,,,,
brook lopez,Late (8+ yrs),Top 25%,16,0.5470546060994241,7,113.0,0.063,,,258.0,12.77,,3.57,27.5,30.5,7.0
bruce brown,Mid (4–7 yrs),25–50%,7,0.13990343622796894,5,150.0,0.0375,8.5,8.5,194.6,11.11,3.44,3.2,32.5,38.0,17.0
bruno fernando,Mid (4–7 yrs),Bottom 25%,6,0.10981782106782106,1,36.0,0.054,9.25,10.0,237.0,11.29,3.05,3.21,29.5,33.5,13.0
bryce mcgowens,Early (1–3 yrs),Bottom 25%,3,0.09286038206450882,0,,0.054,8.75,9.5,181.2,11.12,3.16,3.27,29.5,34.0,
buddy hield,Late (8+ yrs),50–75%,9,0.1925480962155549,1,1237.0,0.061,8.5,9.0,212.4,,,,,,
byron mullens,Mid (4–7 yrs),25–50%,5,0.13343589743589743,0,,0.085,,,258.2,11.1,,3.45,28.5,32.5,10.0
cade cunningham,Mid (4–7 yrs),Top 25%,4,0.6672986271121352,2,49.5,,,,,,,,,,
