Player_clean,Career_Arc,Perf_Tier,Seasons_Played,Avg_PPG,Injury_Count,Avg_Injury_Days,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),WEIGHT (LBS),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press
dominique jones,Early (1–3 yrs),Bottom 25%,3,0.11584233135957274,2,31.5,0.059,9.0,10.25,216.0,10.88,,3.31,26.0,32.5,19.0
donovan clingan,Early (1–3 yrs),Bottom 25%,1,0.09701492537313433,0,,,10.0,10.25,282.0,12.06,3.38,3.46,25.5,29.0,
donovan mitchell,Late (8+ yrs),Top 25%,8,0.3798665052373081,6,94.66666666666667,0.059,8.5,9.5,211.4,11.53,3.07,3.01,36.5,40.5,10.0
donte divincenzo,Mid (4–7 yrs),25–50%,7,0.17190859291473728,5,57.4,0.05,8.25,9.0,200.6,10.72,3.12,3.11,34.5,42.0,12.0
donte greene,Early (1–3 yrs),Bottom 25%,3,0.09926228957682694,1,288.0,0.076,,,221.0,11.21,,3.2,27.5,31.5,2.0
doron lamb,Early (1–3 yrs),Bottom 25%,2,0.06906864712966679,1,2.0,0.067,8.5,8.75,199.4,11.12,,3.41,29.0,33.5,2.0
draymond green,Late (8+ yrs),25–50%,13,0.13093000147207043,7,168.71428571428572,0.113,9.0,9.5,235.6,11.01,,3.4,28.0,33.0,9.0
drew gooden,Mid (4–7 yrs),50–75%,6,0.2354365609880316,5,122.4,,,,227.0,11.81,,3.19,29.0,33.0,13.0
dwayne bacon,Mid (4–7 yrs),25–50%,4,0.1323935819616491,1,617.0,0.079,8.75,10.0,221.6,11.7,3.22,3.22,30.0,36.5,8.0
dwight howard,Late (8+ yrs),Top 25%,13,0.3140294786860269,6,74.16666666666667,0.105,,,240.0,11.21,,3.14,30.5,35.5,7.0
dwyane wade,Late (8+ yrs),Top 25%,10,0.3078113035440551,9,90.66666666666667,0.067,,,212.0,10.56,,3.08,31.5,35.0,9.0
dylan windler,Mid (4–7 yrs),50–75%,4,0.23136685641998736,1,73.0,0.046,8.25,9.5,195.8,10.7,2.94,3.3,29.0,37.5,8.0
dyson daniels,Early (1–3 yrs),Bottom 25%,3,0.11500502088786846,0,,0.049,8.5,9.75,195.2,10.81,2.81,3.22,29.0,34.0,
earl clark,Mid (4–7 yrs),Bottom 25%,6,0.11473600362932368,0,,0.052,,,228.4,11.17,,3.35,28.5,33.0,5.0
earl watson,Mid (4–7 yrs),Bottom 25%,5,0.054996835443037975,1,39.0,0.04,,,184.0,10.97,,3.19,32.5,37.5,4.0
ed davis,Late (8+ yrs),Bottom 25%,12,0.08353487039775243,0,,0.1,9.25,10.0,226.6,11.7,,3.21,31.0,36.0,
eddie house,Early (1–3 yrs),Bottom 25%,2,0.1095063025210084,0,,,,,176.5,11.12,,3.27,29.5,38.5,5.0
eddy curry,Early (1–3 yrs),Top 25%,3,0.9761904761904763,2,41.0,0.165,,,301.0,12.25,,3.53,28.0,31.0,16.0
eduardo najera,Early (1–3 yrs),Bottom 25%,3,0.08768753453185431,3,8.666666666666666,,,,234.5,11.38,,3.45,28.0,35.0,15.0
ej liddell,Early (1–3 yrs),Bottom 25%,2,0.10625,0,,0.122,8.25,9.25,243.0,11.11,3.23,3.26,35.5,38.0,
ekpe udoh,Mid (4–7 yrs),Bottom 25%,7,0.05909498141999931,3,116.33333333333333,0.08,9.5,8.75,237.4,11.15,,3.29,31.0,33.5,10.0
elijah hughes,Early (1–3 yrs),Bottom 25%,2,0.09583333333333333,1,47.0,0.102,8.5,8.75,229.0,,,,,,
emeka okafor,Mid (4–7 yrs),50–75%,5,0.18571341397445135,1,401.0,0.053,,,257.0,12.32,,3.15,31.5,34.0,22.0
emoni bates,Early (1–3 yrs),50–75%,2,0.275,0,,,8.0,8.25,179.2,11.54,,3.49,27.0,32.5,
enrique freeman,Early (1–3 yrs),Bottom 25%,1,0.09545454545454546,0,,,8.75,10.0,212.0,10.99,3.04,3.26,30.5,35.0,
eric bledsoe,Late (8+ yrs),50–75%,12,0.2432321706687194,7,257.57142857142856,0.056,8.5,9.75,191.6,,,,,,9.0
eric gordon,Late (8+ yrs),Top 25%,16,0.4179878935320685,13,125.46153846153847,0.082,,,222.0,10.81,,3.01,32.0,40.0,15.0
eric maynor,Mid (4–7 yrs),25–50%,5,0.14601886759234978,0,,0.054,,,163.6,10.78,,3.19,28.5,31.5,8.0
eric paschall,Early (1–3 yrs),50–75%,3,0.19027777777777777,2,36.5,0.063,9.0,9.5,254.4,11.63,3.26,3.3,33.0,38.0,18.0
erick green,Early (1–3 yrs),Bottom 25%,2,0.117312661498708,1,2.0,0.0435,8.5,9.0,178.2,,,,,,5.0
erik murphy,Early (1–3 yrs),Bottom 25%,1,0.012499999999999999,0,,0.0795,8.75,9.75,239.8,12.19,2.96,3.57,24.5,29.5,13.0
ersan ilyasova,Late (8+ yrs),25–50%,12,0.1645150593063547,8,260.0,,,,208.8,11.59,,3.56,22.0,30.0,2.0
evan mobley,Mid (4–7 yrs),50–75%,4,0.24925449394218918,1,21.0,,,,,,,,,,
evan turner,Late (8+ yrs),25–50%,10,0.13265348954871423,4,111.75,0.086,8.75,9.5,213.8,11.06,,3.27,27.5,34.5,9.0
fab melo,Early (1–3 yrs),50–75%,1,0.19999999999999998,0,,0.092,9.0,10.0,255.0,12.14,,3.44,29.5,31.0,9.0
festus ezeli,Early (1–3 yrs),Bottom 25%,3,0.09286510590858417,1,364.0,0.055,9.0,10.75,264.2,12.35,,3.29,34.0,33.5,18.0
francisco garcia,Mid (4–7 yrs),25–50%,6,0.16937265689975048,3,169.66666666666666,,,,189.6,10.63,,3.33,27.5,31.5,5.0
frank jackson,Mid (4–7 yrs),25–50%,5,0.13691330925257014,3,20.0,0.067,8.25,9.0,201.6,10.94,2.7,3.14,34.5,42.0,9.0
frank kaminsky,Late (8+ yrs),50–75%,8,0.27605541849572957,3,258.3333333333333,0.094,8.5,9.5,231.2,,,,,,
frank mason,Mid (4–7 yrs),Top 25%,4,0.6569500674763833,2,26.5,0.043,8.0,9.25,188.8,11.41,3.09,3.18,34.0,41.0,15.0
gani lawal,Early (1–3 yrs),Bottom 25%,1,0.0,1,44.0,0.063,8.5,10.0,233.4,11.61,,3.24,27.0,31.5,20.0
gary trent,Mid (4–7 yrs),50–75%,7,0.20824534633376376,5,24.0,0.07,8.5,9.5,204.2,11.37,2.99,3.12,33.5,39.5,12.0
george hill,Late (8+ yrs),50–75%,14,0.1898255239442637,10,112.7,0.03,,,181.0,12.2,,3.07,34.0,37.5,9.0
georges niang,Late (8+ yrs),Bottom 25%,9,0.09659965194836695,5,81.2,0.1005,9.25,9.25,230.8,11.64,3.17,3.49,25.0,31.0,
gerald green,Late (8+ yrs),50–75%,8,0.19444665355764826,0,,,,,192.0,11.2,,3.21,31.5,39.0,7.0
gerald henderson,Late (8+ yrs),25–50%,8,0.1607259388515801,2,337.5,0.044,,,214.6,11.17,,3.14,31.5,35.0,8.0
gg jackson,Early (1–3 yrs),50–75%,2,0.2762212643678161,0,,,8.5,10.0,214.4,11.39,,3.21,31.0,37.0,
giddens,Early (1–3 yrs),Bottom 25%,1,0.06875,1,4.0,0.054,,,208.0,,,,,,10.0
gilbert arenas,Early (1–3 yrs),Top 25%,3,0.3691981792717087,1,284.0,0.053,,,199.0,,,3.25,31.5,36.0,12.0
glen rice,Early (1–3 yrs),Top 25%,2,0.3518181818181818,1,16.0,0.0845,8.5,9.0,210.8,10.99,3.08,3.25,33.0,40.5,10.0
gordon hayward,Late (8+ yrs),Top 25%,14,0.372326434200755,10,190.3,0.069,8.5,9.25,211.0,11.73,,3.22,30.5,34.5,10.0
gorgui dieng,Late (8+ yrs),Bottom 25%,10,0.1118652326207594,2,3.5,0.0535,9.0,10.0,229.6,,,,,,
gradey dick,Early (1–3 yrs),50–75%,2,0.20416666666666666,0,,,8.25,9.0,204.0,11.13,2.98,3.5,29.0,34.0,
grant jerrett,Early (1–3 yrs),50–75%,1,0.25,1,20.0,0.1005,8.5,9.25,232.0,11.85,3.23,3.51,28.5,34.0,2.0
grant williams,Mid (4–7 yrs),50–75%,6,0.1855391999299684,1,337.0,0.054,9.0,10.5,240.2,10.83,3.27,3.33,26.0,31.5,20.0
grayson allen,Mid (4–7 yrs),25–50%,7,0.17808100744284955,5,61.0,0.0555,8.25,10.0,198.0,10.31,3.04,3.15,32.5,40.5,
greg brown,Early (1–3 yrs),50–75%,3,0.20902777777777778,1,26.0,0.055,9.0,9.75,206.4,10.98,2.98,3.19,33.5,39.0,
greg monroe,Late (8+ yrs),50–75%,10,0.201321104829999,1,76.0,0.112,8.75,9.5,246.6,12.1,,3.35,25.0,29.0,15.0
greg oden,Early (1–3 yrs),Top 25%,2,0.3273291925465839,1,274.0,0.078,,,257.0,11.67,,3.27,32.0,34.0,
greivis vasquez,Mid (4–7 yrs),50–75%,7,0.2309067977119615,1,3.0,0.086,7.75,9.25,210.8,,,,,,
hakim warrick,Mid (4–7 yrs),25–50%,4,0.16515037593984963,0,,,,,215.0,,,3.22,33.0,38.0,11.0
hamidou diallo,Mid (4–7 yrs),50–75%,6,0.21689209061166462,3,43.333333333333336,0.0445,8.75,9.0,197.0,10.53,3.14,3.1,32.5,40.5,1.0
harrison barnes,Late (8+ yrs),50–75%,13,0.1854590412814787,2,49.5,0.096,9.0,8.5,227.8,10.93,,3.16,38.0,39.5,15.0
harrison ingram,Early (1–3 yrs),25–50%,1,0.16,0,,,9.0,10.25,233.6,11.36,2.94,3.17,29.0,35.0,
harry giles,Mid (4–7 yrs),Bottom 25%,4,0.11218042294642153,1,90.0,0.052,9.5,10.75,232.0,11.08,3.0,3.34,27.0,32.5,5.0
hasheem thabeet,Mid (4–7 yrs),Bottom 25%,5,0.04950600800407624,2,136.5,0.067,,,267.2,,,,,,
hassan whiteside,Late (8+ yrs),25–50%,10,0.17626117132751767,8,134.875,0.055,8.25,10.25,226.6,11.83,,3.54,27.0,31.5,12.0
henry ellenson,Mid (4–7 yrs),Top 25%,5,0.8838947368421053,4,74.75,0.112,8.5,9.75,242.0,,,,,,
herbert jones,Mid (4–7 yrs),50–75%,4,0.23250414059624586,0,,0.058,8.5,9.0,206.4,11.02,3.17,3.25,28.5,36.5,
hilton armstrong,Early (1–3 yrs),Bottom 25%,3,0.07069182389937106,2,45.0,0.063,,,240.0,12.28,,3.53,28.5,31.5,13.0
ignas brazdeikis,Early (1–3 yrs),Top 25%,3,0.28954008954008953,0,,0.06,8.75,9.5,220.8,11.06,3.17,3.36,31.0,36.5,13.0
ike anigbogu,Early (1–3 yrs),Bottom 25%,2,0.05454545454545454,2,14.0,0.054,9.5,10.0,252.2,12.52,3.48,3.44,29.5,32.5,11.0
ike diogu,Early (1–3 yrs),Top 25%,2,0.33055555555555555,0,,,,,255.4,11.94,,3.45,28.0,31.0,21.0
iman shumpert,Late (8+ yrs),50–75%,10,0.19961228561005545,7,156.85714285714286,0.065,9.0,9.0,221.8,11.1,,3.18,36.5,42.0,18.0
immanuel quickley,Mid (4–7 yrs),50–75%,5,0.2550258460675127,1,75.0,0.082,8.0,8.75,185.8,11.21,2.46,3.17,29.5,35.5,
isaiah canaan,Mid (4–7 yrs),50–75%,6,0.21594024179130564,3,32.333333333333336,0.059,8.25,9.5,188.4,10.98,2.89,3.22,33.0,40.5,16.0
isaiah collier,Early (1–3 yrs),Bottom 25%,1,0.12253521126760562,0,,,8.5,9.0,204.6,10.77,2.9,3.04,30.0,34.0,
isaiah jackson,Mid (4–7 yrs),Top 25%,4,0.4628769841269841,2,35.0,,,,,,,,,,
isaiah joe,Mid (4–7 yrs),Bottom 25%,5,0.10576029543219653,2,87.0,0.047,8.25,8.25,170.4,,,,,,
isaiah livers,Early (1–3 yrs),50–75%,3,0.22769318781904593,3,131.66666666666666,0.094,9.0,9.5,231.8,,,,,,
isaiah mobley,Early (1–3 yrs),Top 25%,3,2.1488888888888886,0,,0.129,9.0,10.0,238.0,12.7,3.5,3.3,26.5,32.0,
isaiah roby,Mid (4–7 yrs),Bottom 25%,4,0.11617161072079105,3,97.33333333333333,0.039,9.0,10.5,214.0,10.63,3.05,3.25,32.5,35.5,9.0
isaiah stewart,Mid (4–7 yrs),25–50%,5,0.15587354682228066,2,35.5,0.075,9.0,10.5,243.0,,,,,,
isaiah todd,Early (1–3 yrs),50–75%,2,0.19583333333333333,1,17.0,0.062,9.0,9.75,219.0,11.38,3.25,3.31,28.5,35.5,
isaiah whitehead,Early (1–3 yrs),50–75%,2,0.2475599315068493,2,59.5,0.0925,8.5,8.75,210.0,11.65,3.21,3.34,27.5,35.5,
ivan rabb,Early (1–3 yrs),25–50%,2,0.13696145124716552,2,41.5,0.068,8.75,9.0,219.6,12.68,3.23,3.35,28.5,32.5,3.0
ja morant,Mid (4–7 yrs),Top 25%,6,0.7886575141603022,4,42.75,,,,,,,,,,
jabari smith,Early (1–3 yrs),50–75%,3,0.1854411873565771,0,,,,,,,,,,,
jacob evans,Early (1–3 yrs),Bottom 25%,2,0.09752873563218392,2,25.0,0.065,9.0,9.25,199.6,11.11,3.14,3.2,28.0,35.5,8.0
jaden hardy,Early (1–3 yrs),25–50%,3,0.14532163742690057,0,,,,,,,,,,,
jaden ivey,Early (1–3 yrs),Top 25%,3,0.33564564564564564,1,99.0,,,,,,,,,,
jaden springer,Mid (4–7 yrs),50–75%,4,0.19699661841480778,2,50.0,0.063,8.5,9.75,202.0,11.46,3.1,3.13,34.5,41.5,
jae crowder,Late (8+ yrs),25–50%,13,0.16468830693529063,3,111.0,0.09,9.5,10.5,241.2,11.45,,3.37,31.0,34.5,20.0
jahmius ramsey,Early (1–3 yrs),Top 25%,3,0.45467514941199155,1,1.0,0.034,8.75,9.75,193.4,,,,,,
jaime jaquez,Early (1–3 yrs),25–50%,2,0.1444848484848485,0,,,8.5,9.5,226.4,11.21,,3.33,34.5,39.0,
jajuan johnson,Early (1–3 yrs),Bottom 25%,1,0.08888888888888889,0,,0.075,9.0,10.0,219.8,11.21,,3.14,33.5,38.0,15.0
jake laravia,Early (1–3 yrs),25–50%,3,0.1662770562770563,2,16.0,0.09,8.5,10.25,227.2,10.58,2.89,3.37,27.5,34.0,
jake layman,Mid (4–7 yrs),25–50%,6,0.1296740945816988,0,,0.071,8.25,9.25,208.6,11.35,2.82,3.24,33.0,39.5,
jakob poeltl,Late (8+ yrs),25–50%,9,0.14122166378837736,4,208.5,0.058,9.25,10.25,239.0,,,,,,
jakobe walter,Early (1–3 yrs),25–50%,1,0.16538461538461538,0,,,8.75,9.75,197.6,11.0,2.92,3.04,30.5,38.5,
jalen brunson,Mid (4–7 yrs),50–75%,7,0.25550694145225,3,125.66666666666667,0.067,8.25,9.25,198.4,10.59,3.11,3.15,29.0,37.0,7.0
jalen duren,Early (1–3 yrs),25–50%,3,0.17111081833372022,2,54.0,,,,,,,,,,
jalen green,Mid (4–7 yrs),50–75%,4,0.26103009503190083,1,400.0,,,,,,,,,,
jalen hood schifino,Early (1–3 yrs),50–75%,2,0.27476190476190476,0,,,9.0,9.75,216.6,,,,,,
jalen johnson,Mid (4–7 yrs),50–75%,4,0.24995129870129867,1,5.0,0.045,9.75,10.5,209.6,,,,,,
jalen pickett,Early (1–3 yrs),Bottom 25%,2,0.07146636432350717,0,,,8.5,7.5,197.8,11.91,3.41,3.35,28.5,33.0,
jalen smith,Mid (4–7 yrs),25–50%,5,0.13662432140433586,1,1.0,0.037,9.25,9.25,224.6,,,,,,
jalen williams,Early (1–3 yrs),50–75%,3,0.2566858542559706,0,,0.089,8.5,9.5,209.2,11.13,3.17,3.11,33.5,39.0,
jamaal franklin,Early (1–3 yrs),50–75%,2,0.2119047619047619,1,7.0,0.0825,8.5,8.25,190.8,,,,,,
jamaal tinsley,Mid (4–7 yrs),Bottom 25%,4,0.09565889154704944,1,100.0,0.136,,,199.0,11.96,,3.2,28.0,37.5,1.0
jamal crawford,Late (8+ yrs),Top 25%,11,0.633045759623141,3,214.66666666666666,,,,175.0,,,,,,
jamal shead,Early (1–3 yrs),Bottom 25%,1,0.09466666666666666,0,,,8.25,8.75,200.8,10.87,2.87,2.94,30.0,37.5,
jameer nelson,Late (8+ yrs),25–50%,9,0.173919586338059,5,134.0,0.08,,,199.0,10.95,,3.14,28.5,33.5,15.0
james anderson,Mid (4–7 yrs),Bottom 25%,5,0.10066478129713423,1,20.0,0.079,8.5,7.25,207.6,11.86,,3.19,30.0,35.5,14.0
james bouknight,Early (1–3 yrs),50–75%,3,0.1900786120899973,1,17.0,0.055,8.75,9.0,190.0,,,,,,
james ennis,Late (8+ yrs),50–75%,8,0.201622281182661,6,138.0,0.045,8.5,8.75,200.8,11.55,3.06,3.4,29.5,36.5,7.0
james harden,Late (8+ yrs),Top 25%,16,0.34058977120370626,7,225.42857142857142,0.101,,,222.0,11.1,,3.13,31.5,37.0,17.0
james johnson,Late (8+ yrs),25–50%,16,0.13096277209325816,8,116.125,0.12,,,257.2,11.21,,3.23,30.5,35.0,18.0
james jones,Late (8+ yrs),Bottom 25%,8,0.09462894282956848,0,,0.067,,,218.0,11.18,,3.19,30.5,33.0,9.0
jarace walker,Early (1–3 yrs),Bottom 25%,2,0.09521212121212122,0,,,9.0,10.0,248.6,10.89,,3.2,34.5,38.0,
jared butler,Mid (4–7 yrs),Top 25%,4,0.357827380952381,2,30.5,0.051,8.5,8.25,193.0,,,,,,
jared cunningham,Early (1–3 yrs),25–50%,3,0.16619433198380568,2,4.5,0.036,8.25,9.0,187.6,,,,,,4.0
jared dudley,Late (8+ yrs),Bottom 25%,12,0.09869743443140949,2,29.5,0.071,,,219.0,11.32,,3.45,28.0,32.0,14.0
jared jeffries,Mid (4–7 yrs),Bottom 25%,4,0.06574272219009061,4,215.25,,,,230.0,11.73,,3.4,26.0,30.0,9.0
jared mccain,Early (1–3 yrs),Top 25%,1,0.6652173913043479,0,,,8.25,9.5,203.2,10.87,3.07,3.23,25.5,33.0,
jared sullinger,Mid (4–7 yrs),50–75%,5,0.1957249621617438,0,,0.107,9.25,9.75,268.2,12.77,,3.81,29.5,31.0,9.0
jarell martin,Mid (4–7 yrs),Bottom 25%,4,0.11843335507719069,3,152.33333333333334,0.101,8.25,9.5,238.6,11.2,2.97,3.27,28.5,35.0,19.0
jaren jackson,Mid (4–7 yrs),Top 25%,7,0.4282009495128499,5,34.4,0.072,10.0,10.0,236.0,,,,,,
jarrett allen,Late (8+ yrs),50–75%,8,0.18607486236364465,4,318.0,0.074,9.5,10.5,233.6,11.82,3.0,3.21,31.5,35.5,4.0
jarrett culver,Mid (4–7 yrs),50–75%,4,0.20912717339187928,2,57.0,0.05,8.25,8.5,194.2,,,,,,
jarrett jack,Late (8+ yrs),Top 25%,9,0.3384365393054678,0,,,,,197.6,10.87,,3.24,26.0,28.5,5.0
jarvis varnado,Early (1–3 yrs),Bottom 25%,2,0.10849358974358973,1,4.0,0.095,9.25,9.5,210.2,11.61,,3.37,29.5,32.5,3.0
jason collins,Mid (4–7 yrs),Bottom 25%,5,0.038452738990332976,3,22.0,0.129,,,251.0,12.1,,3.54,25.5,28.5,8.0
jason hart,Early (1–3 yrs),Bottom 25%,1,0.08,1,5.0,,,,181.0,11.7,,3.34,29.5,33.5,9.0
jason kapono,Early (1–3 yrs),Bottom 25%,3,0.06774691358024691,2,164.0,0.117,,,215.0,11.04,,3.38,23.5,30.0,8.0
jason maxiell,Mid (4–7 yrs),Bottom 25%,6,0.08453453929745612,1,1087.0,,,,257.6,,,,,,
jason preston,Early (1–3 yrs),50–75%,2,0.22499999999999998,0,,0.0545,8.5,9.25,180.6,10.82,3.08,3.13,30.5,38.5,
jason richardson,Mid (4–7 yrs),Top 25%,5,0.28113563572657513,1,10.0,0.053,,,213.0,11.75,,3.12,32.5,39.5,15.0
jason smith,Late (8+ yrs),25–50%,10,0.13751011288627327,6,151.66666666666666,0.075,,,233.0,10.96,,3.29,33.5,37.5,15.0
javale mcgee,Late (8+ yrs),50–75%,15,0.21132098017234485,7,147.0,0.053,,,241.0,12.75,,3.25,27.0,32.5,7.0
jawun evans,Early (1–3 yrs),Bottom 25%,2,0.1,2,59.5,0.091,8.0,7.75,185.2,11.34,3.26,3.21,27.5,33.5,1.0
jaxson hayes,Mid (4–7 yrs),Bottom 25%,6,0.110453710739615,0,,0.05,9.25,10.5,218.6,11.74,3.23,3.37,27.0,34.5,5.0
jaylen brown,Late (8+ yrs),Top 25%,9,0.2983310445753223,7,110.14285714285714,0.0505,8.75,9.0,222.8,,,,,,
jaylen nowell,Mid (4–7 yrs),Top 25%,6,0.38296545748158656,4,207.5,0.061,8.25,8.5,202.4,10.76,3.13,3.23,32.0,38.5,2.0
jaylen wells,Early (1–3 yrs),25–50%,1,0.13164556962025317,0,,,8.25,9.25,206.2,11.28,3.03,3.08,27.5,36.0,
jaylin williams,Early (1–3 yrs),Bottom 25%,3,0.10130369755055894,0,,0.08,8.5,10.5,236.6,11.64,3.1,3.5,24.5,30.0,
jaylon tyson,Early (1–3 yrs),Bottom 25%,1,0.07659574468085106,0,,,8.25,9.5,218.2,11.13,3.06,3.12,29.5,36.5,
jeff ayres,Mid (4–7 yrs),Bottom 25%,5,0.07155656611176353,0,,0.055,,,239.6,11.98,,3.14,31.0,35.0,15.0
jeff green,Late (8+ yrs),25–50%,15,0.1587996780760849,5,41.8,0.037,,,228.0,12.0,,3.34,33.5,38.0,17.0
jeff teague,Late (8+ yrs),25–50%,12,0.17518917291275374,4,159.5,0.045,,,175.2,11.05,,3.18,30.5,36.5,13.0
jeff withey,Mid (4–7 yrs),Bottom 25%,5,0.08366865851652869,3,167.33333333333334,0.0865,9.0,9.75,221.8,,,,,,
jeremiah robinson earl,Mid (4–7 yrs),Bottom 25%,4,0.12025356979675916,1,28.0,0.089,9.0,9.75,242.4,11.64,3.15,3.29,27.0,32.0,
jeremy lamb,Late (8+ yrs),25–50%,10,0.170515718202149,6,99.83333333333333,0.045,8.75,9.25,179.2,10.98,,3.25,31.5,38.0,5.0
jeremy sochan,Early (1–3 yrs),50–75%,3,0.18809881309881313,2,16.5,,,,,,,,,,
jeremy tyler,Early (1–3 yrs),Bottom 25%,3,0.08403019744483159,2,45.0,0.134,9.25,9.0,262.4,11.26,,3.29,28.0,33.5,10.0
jerian grant,Mid (4–7 yrs),50–75%,5,0.22016970353812457,0,,0.056,8.25,8.5,198.0,,,,,,
jermaine taylor,Early (1–3 yrs),25–50%,2,0.16318785578747624,1,17.0,0.058,,,207.4,11.54,,3.32,34.0,37.5,16.0
jerome jordan,Early (1–3 yrs),Bottom 25%,2,0.08284632034632033,0,,0.069,9.0,10.25,244.2,,,,,,
jerome robinson,Mid (4–7 yrs),25–50%,4,0.13396358543417367,0,,0.0605,9.0,10.0,188.4,,,,,,
jerryd bayless,Late (8+ yrs),Top 25%,10,0.5200042167039488,6,82.33333333333333,0.047,,,204.0,11.26,,3.07,31.0,38.0,10.0
jett howard,Early (1–3 yrs),Bottom 25%,2,0.08194444444444444,0,,,,,,,,,,,
jevon carter,Mid (4–7 yrs),Bottom 25%,7,0.08813246991407911,0,,0.0415,9.25,8.5,196.2,11.04,3.05,3.18,29.0,36.5,14.0
jimmy butler,Late (8+ yrs),Top 25%,14,0.2939313965260962,10,87.4,0.054,9.0,9.0,222.2,11.12,,3.15,32.0,39.0,14.0
jj redick,Late (8+ yrs),50–75%,12,0.21727491316899727,7,146.14285714285714,0.07,,,190.0,10.94,,3.29,27.5,33.0,6.0
joakim noah,Late (8+ yrs),50–75%,11,0.20404131754707588,8,90.25,0.048,,,223.0,11.79,,3.47,32.5,37.5,12.0
jodie meeks,Late (8+ yrs),Top 25%,10,0.4405605400605401,3,136.0,0.08,,,211.4,10.96,,3.1,28.5,37.0,14.0
joe alexander,Early (1–3 yrs),Bottom 25%,1,0.0625,1,238.0,0.058,,,220.0,11.33,,2.99,32.5,38.5,24.0
joe johnson,Late (8+ yrs),Top 25%,10,0.3844965523430436,6,119.33333333333333,0.067,,,226.0,12.05,,3.4,32.5,36.5,12.0
joe wieskamp,Early (1–3 yrs),Bottom 25%,2,0.0917624521072797,0,,0.041,8.5,9.25,204.8,10.7,3.18,3.04,30.0,42.0,
joey dorsey,Early (1–3 yrs),Bottom 25%,3,0.07040781934614089,2,7.0,0.09,,,265.0,11.84,,3.2,27.5,33.0,19.0
joey graham,Early (1–3 yrs),Bottom 25%,2,0.1,2,83.5,,,,216.6,10.62,,3.05,30.0,36.0,26.0
john collins,Late (8+ yrs),Top 25%,8,0.306165529560016,0,,0.054,9.0,10.0,225.2,11.66,3.27,3.27,33.0,37.5,15.0
john henson,Late (8+ yrs),25–50%,8,0.15645312578602966,6,256.0,0.086,9.25,10.0,216.0,,,,25.5,30.0,5.0
john jenkins,Mid (4–7 yrs),50–75%,6,0.21631882329556748,4,69.75,0.071,9.0,9.0,212.0,11.36,,3.37,30.5,36.5,10.0
john salmons,Mid (4–7 yrs),25–50%,6,0.13710699875962895,1,29.0,,,,207.0,11.35,,3.25,30.5,34.5,12.0
john wall,Late (8+ yrs),Top 25%,11,0.3495716176848227,0,,0.056,8.25,9.5,195.6,10.84,,3.14,30.0,39.0,
johnny davis,Early (1–3 yrs),Bottom 25%,3,0.11257703081232491,0,,0.067,8.5,10.25,196.4,,,,,,
johnny furphy,Early (1–3 yrs),Bottom 25%,1,0.042,0,,,8.0,9.5,188.8,11.15,3.17,3.2,25.5,32.0,
jon leuer,Late (8+ yrs),25–50%,8,0.17526378332707232,5,100.6,0.054,8.75,9.75,223.2,10.82,,3.36,29.5,36.5,14.0
jonathan kuminga,Mid (4–7 yrs),50–75%,4,0.20592945483704456,1,420.0,,,,,,,,,,
jonathan mogbo,Early (1–3 yrs),Bottom 25%,1,0.09841269841269841,0,,,8.75,8.75,217.2,11.14,3.07,3.02,31.5,37.5,
jonny flynn,Early (1–3 yrs),25–50%,3,0.14061302681992335,2,31.0,0.063,,,195.6,10.86,,3.23,33.0,40.0,10.0
jordan bell,Mid (4–7 yrs),25–50%,5,0.13124853208070886,2,12.0,0.054,9.25,9.5,223.6,10.63,2.83,3.21,31.5,38.0,16.0
jordan crawford,Mid (4–7 yrs),Top 25%,6,0.47864682442990186,2,9.0,0.049,8.0,9.0,198.4,11.03,,3.37,31.5,34.5,7.0
jordan farmar,Mid (4–7 yrs),Top 25%,7,0.6609663288413705,2,950.0,0.044,,,171.0,11.07,,3.17,33.5,42.0,11.0
jordan hamilton,Mid (4–7 yrs),Top 25%,5,0.32802364302364306,2,4.5,0.098,9.0,9.25,228.4,11.47,,3.3,25.0,32.0,7.0
jordan hawkins,Early (1–3 yrs),25–50%,2,0.15463752665245203,0,,,8.25,8.75,186.0,,,,,,
jordan hill,Late (8+ yrs),25–50%,8,0.15215144604091038,2,185.0,0.06,,,232.4,12.23,,3.3,31.0,35.0,11.0
jordan mickey,Early (1–3 yrs),Bottom 25%,3,0.10505434782608696,3,40.666666666666664,0.072,8.75,9.5,238.0,11.72,3.13,3.28,33.0,37.5,9.0
jordan miller,Early (1–3 yrs),25–50%,2,0.1554054054054054,0,,,8.5,9.25,191.6,11.43,3.21,3.17,32.0,36.5,
jordan nwora,Mid (4–7 yrs),25–50%,4,0.1480893300248139,2,94.0,0.1168,8.5,9.25,223.0,11.29,2.66,3.43,29.0,35.0,
jordan poole,Mid (4–7 yrs),50–75%,6,0.2344048557180023,1,713.0,0.075,8.25,8.5,190.8,10.59,3.14,3.27,28.0,35.5,
jordan walsh,Early (1–3 yrs),Bottom 25%,2,0.10982905982905983,0,,,8.75,8.5,204.0,10.83,,3.3,33.0,36.0,
jordan williams,Early (1–3 yrs),Bottom 25%,1,0.10697674418604651,0,,0.121,9.25,10.0,247.2,12.74,,3.45,25.0,30.5,10.0
