Player,Team,Year,Round Number,Round Pick
Jeremy Sochan,San Antonio Spurs,2022,1,9
Johnny Davis,Washington Wizards,2022,1,10
Ousmane Dieng,New York Knicks,2022,1,11
Jalen Williams,Oklahoma City Thunder,2022,1,12
Jalen Duren,Charlotte Hornets,2022,1,13
Ochai Agbaji,Cleveland Cavaliers,2022,1,14
Mark Williams,Charlotte Hornets,2022,1,15
AJ Griffin,Atlanta Hawks,2022,1,16
Tari Eason,Houston Rockets,2022,1,17
Dalen Terry,Chicago Bulls,2022,1,18
Jake LaRavia,Minnesota Timberwolves,2022,1,19
Malaki Branham,San Antonio Spurs,2022,1,20
Christian Braun,Denver Nuggets,2022,1,21
Walker Kessler,Memphis Grizzlies,2022,1,22
David Roddy,Philadelphia 76ers,2022,1,23
MarJon Beauchamp,Milwaukee Bucks,2022,1,24
Blake Wesley,San Antonio Spurs,2022,1,25
Wendell Moore Jr.,Dallas Mavericks,2022,1,26
Nikola Jović,Miami Heat,2022,1,27
Patrick Baldwin Jr.,Golden State Warriors,2022,1,28
TyTy Washington Jr.,Memphis Grizzlies,2022,1,29
Peyton Watson,Oklahoma City Thunder,2022,1,30
Andrew Nembhard,Indiana Pacers,2022,2,1
Caleb Houstan,Orlando Magic,2022,2,2
Christian Koloko,Toronto Raptors,2022,2,3
Jaylin Williams,Oklahoma City Thunder,2022,2,4
Max Christie,Los Angeles Lakers,2022,2,5
Gabriele Procida,Portland Trail Blazers,2022,2,6
Jaden Hardy,Sacramento Kings,2022,2,7
Kennedy Chandler,San Antonio Spurs,2022,2,8
Khalifa Diop,Cleveland Cavaliers,2022,2,9
Bryce McGowens,Minnesota Timberwolves,2022,2,10
E.J. Liddell,New Orleans Pelicans,2022,2,11
Trevor Keels,New York Knicks,2022,2,12
Moussa Diabaté,LA Clippers,2022,2,13
Ryan Rollins,Atlanta Hawks,2022,2,14
Josh Minott,Charlotte Hornets,2022,2,15
Ismael Kamagate,Detroit Pistons,2022,2,16
Vince Williams Jr.,Memphis Grizzlies,2022,2,17
Kendall Brown,Minnesota Timberwolves,2022,2,18
Isaiah Mobley,Cleveland Cavaliers,2022,2,19
Matteo Spagnolo,Minnesota Timberwolves,2022,2,20
Cade Cunningham,Detroit Pistons,2021,1,1
Jalen Green,Houston Rockets,2021,1,2
Evan Mobley,Cleveland Cavaliers,2021,1,3
Scottie Barnes,Toronto Raptors,2021,1,4
Jalen Suggs,Orlando Magic,2021,1,5
Josh Giddey,Oklahoma City Thunder,2021,1,6
Jonathan Kuminga,Golden State Warriors,2021,1,7
Franz Wagner,Orlando Magic,2021,1,8
Davion Mitchell,Sacramento Kings,2021,1,9
Ziaire Williams,New Orleans Pelicans,2021,1,10
James Bouknight,Charlotte Hornets,2021,1,11
Joshua Primo,San Antonio Spurs,2021,1,12
Chris Duarte,Indiana Pacers,2021,1,13
Moses Moody,Golden State Warriors,2021,1,14
Corey Kispert,Washington Wizards,2021,1,15
Alperen Sengun,Oklahoma City Thunder,2021,1,16
Trey Murphy III,Memphis Grizzlies,2021,1,17
Tre Mann,Oklahoma City Thunder,2021,1,18
Kai Jones,New York Knicks,2021,1,19
Jalen Johnson,Atlanta Hawks,2021,1,20
Keon Johnson,New York Knicks,2021,1,21
Isaiah Jackson,Los Angeles Lakers,2021,1,22
