Player,Team,Year,Round Number,Round Pick
Edy Tavares,Atlanta Hawks,2014,2,13
Markel Brown,Minnesota Timberwolves,2014,2,14
Dwight Powell,Charlotte Hornets,2014,2,15
Jordan Clarkson,Washington Wizards,2014,2,16
Russ Smith,Philadelphia 76ers,2014,2,17
Lamar Patterson,Milwaukee Bucks,2014,2,18
Cameron Bairstow,Chicago Bulls,2014,2,19
Alec Brown,Phoenix Suns,2014,2,20
Anthony Bennett,Cleveland Cavaliers,2013,1,1
Victor Oladipo,Orlando Magic,2013,1,2
Otto Porter Jr.,Washington Wizards,2013,1,3
Cody Zeller,Charlotte Bobcats,2013,1,4
Alex Len,Phoenix Suns,2013,1,5
Nerlens Noel,New Orleans Pelicans,2013,1,6
Ben McLemore,Sacramento Kings,2013,1,7
Kentavious Caldwell-Pope,Detroit Pistons,2013,1,8
Trey Burke,Minnesota Timberwolves,2013,1,9
CJ McCollum,Portland Trail Blazers,2013,1,10
Michael Carter-Williams,Philadelphia 76ers,2013,1,11
Steven Adams,Oklahoma City Thunder,2013,1,12
Kelly Olynyk,Dallas Mavericks,2013,1,13
Shabazz Muhammad,Utah Jazz,2013,1,14
Giannis Antetokounmpo,Milwaukee Bucks,2013,1,15
Lucas Nogueira,Boston Celtics,2013,1,16
Dennis Schröder,Atlanta Hawks,2013,1,17
Shane Larkin,Atlanta Hawks,2013,1,18
Sergey Karasev,Cleveland Cavaliers,2013,1,19
Tony Snell,Chicago Bulls,2013,1,20
Gorgui Dieng,Utah Jazz,2013,1,21
Mason Plumlee,Brooklyn Nets,2013,1,22
Solomon Hill,Indiana Pacers,2013,1,23
Tim Hardaway Jr.,New York Knicks,2013,1,24
Reggie Bullock Jr.,Los Angeles Clippers,2013,1,25
Andre Roberson,Minnesota Timberwolves,2013,1,26
Rudy Gobert,Denver Nuggets,2013,1,27
Livio Jean-Charles,San Antonio Spurs,2013,1,28
Archie Goodwin,Oklahoma City Thunder,2013,1,29
Nemanja Nedovic,Phoenix Suns,2013,1,30
Allen Crabbe,Cleveland Cavaliers,2013,2,1
Alex Abrines,Oklahoma City Thunder,2013,2,2
Carrick Felix,Cleveland Cavaliers,2013,2,3
Isaiah Canaan,Houston Rockets,2013,2,4
Glen Rice,Philadelphia 76ers,2013,2,5
Ray McCallum,Sacramento Kings,2013,2,6
Tony Mitchell,Detroit Pistons,2013,2,7
Nate Wolters,Washington Wizards,2013,2,8
Jeff Withey,Portland Trail Blazers,2013,2,9
Grant Jerrett,Portland Trail Blazers,2013,2,10
Jamaal Franklin,Memphis Grizzlies,2013,2,11
Pierre Jackson,Philadelphia 76ers,2013,2,12
Ricky Ledo,Milwaukee Bucks,2013,2,13
Mike Muscala,Dallas Mavericks,2013,2,14
Marko Todorovic,Portland Trail Blazers,2013,2,15
Erick Green,Utah Jazz,2013,2,16
Raul Neto,Atlanta Hawks,2013,2,17
Ryan Kelly,Los Angeles Lakers,2013,2,18
Erik Murphy,Chicago Bulls,2013,2,19
James Ennis III,Atlanta Hawks,2013,2,20
Anthony Davis,New Orleans Hornets,2012,1,1
Michael Kidd-Gilchrist,Charlotte Bobcats,2012,1,2
Bradley Beal,Washington Wizards,2012,1,3
Dion Waiters,Cleveland Cavaliers,2012,1,4
Thomas Robinson,Sacramento Kings,2012,1,5
Damian Lillard,Portland Trail Blazers,2012,1,6
Harrison Barnes,Golden State Warriors,2012,1,7
Terrence Ross,Toronto Raptors,2012,1,8
Andre Drummond,Detroit Pistons,2012,1,9
Austin Rivers,New Orleans Hornets,2012,1,10
Meyers Leonard,Portland Trail Blazers,2012,1,11
Jeremy Lamb,Houston Rockets,2012,1,12
Kendall Marshall,Phoenix Suns,2012,1,13
John Henson,Milwaukee Bucks,2012,1,14
Maurice Harkless,Philadelphia 76ers,2012,1,15
Royce White,Houston Rockets,2012,1,16
Tyler Zeller,Dallas Mavericks,2012,1,17
Terrence Jones,Houston Rockets,2012,1,18
Andrew Nicholson,Orlando Magic,2012,1,19
Evan Fournier,Denver Nuggets,2012,1,20
Jared Sullinger,Boston Celtics,2012,1,21
Fab Melo,Boston Celtics,2012,1,22
John Jenkins,Atlanta Hawks,2012,1,23
Jared Cunningham,Cleveland Cavaliers,2012,1,24
Tony Wroten,Memphis Grizzlies,2012,1,25
Miles Plumlee,Indiana Pacers,2012,1,26
Arnett Moultrie,Miami Heat,2012,1,27
Perry Jones III,Oklahoma City Thunder,2012,1,28
Marquis Teague,Chicago Bulls,2012,1,29
Festus Ezeli,Golden State Warriors,2012,1,30
Jeffery Taylor,Charlotte Bobcats,2012,2,1
Tomas Satoransky,Washington Wizards,2012,2,2
Bernard James,Cleveland Cavaliers,2012,2,3
Jae Crowder,Cleveland Cavaliers,2012,2,4
Draymond Green,Golden State Warriors,2012,2,5
Orlando Johnson,Sacramento Kings,2012,2,6
Quincy Acy,Toronto Raptors,2012,2,7
Quincy Miller,Denver Nuggets,2012,2,8
Khris Middleton,Detroit Pistons,2012,2,9
Will Barton,Portland Trail Blazers,2012,2,10
Tyshawn Taylor,Portland Trail Blazers,2012,2,11
Doron Lamb,Milwaukee Bucks,2012,2,12
Mike Scott,Atlanta Hawks,2012,2,13
Kim English,Detroit Pistons,2012,2,14
Justin Hamilton,Philadelphia 76ers,2012,2,15
Darius Miller,New Orleans Hornets,2012,2,16
Kevin Murphy,Utah Jazz,2012,2,17
Kostas Papanikolaou,New York Knicks,2012,2,18
Kyle O'Quinn,Orlando Magic,2012,2,19
Izzet Turkyilmaz,Denver Nuggets,2012,2,20
Kyrie Irving,Cleveland Cavaliers,2011,1,1
Derrick Williams,Minnesota Timberwolves,2011,1,2
Enes Freedom,Utah Jazz,2011,1,3
Tristan Thompson,Cleveland Cavaliers,2011,1,4
Jonas Valančiūnas,Toronto Raptors,2011,1,5
Jan Vesely,Washington Wizards,2011,1,6
Bismack Biyombo,Sacramento Kings,2011,1,7
Brandon Knight,Detroit Pistons,2011,1,8
Kemba Walker,Charlotte Bobcats,2011,1,9
Jimmer Fredette,Milwaukee Bucks,2011,1,10
Klay Thompson,Golden State Warriors,2011,1,11
Alec Burks,Utah Jazz,2011,1,12
Markieff Morris,Phoenix Suns,2011,1,13
Marcus Morris Sr.,Houston Rockets,2011,1,14
Kawhi Leonard,Indiana Pacers,2011,1,15
Nikola Vučević,Philadelphia 76ers,2011,1,16
Iman Shumpert,New York Knicks,2011,1,17
Chris Singleton,Washington Wizards,2011,1,18
Tobias Harris,Charlotte Bobcats,2011,1,19
Donatas Motiejunas,Minnesota Timberwolves,2011,1,20
Nolan Smith,Portland Trail Blazers,2011,1,21
Kenneth Faried,Denver Nuggets,2011,1,22
Nikola Mirotic,Houston Rockets,2011,1,23
Reggie Jackson,Oklahoma City Thunder,2011,1,24
MarShon Brooks,Boston Celtics,2011,1,25
Jordan Hamilton,Dallas Mavericks,2011,1,26
JaJuan Johnson,New Jersey Nets,2011,1,27
Norris Cole,Chicago Bulls,2011,1,28
Cory Joseph,San Antonio Spurs,2011,1,29
Jimmy Butler III,Chicago Bulls,2011,1,30
Bojan Bogdanović,Miami Heat,2011,2,1
Justin Harper,Cleveland Cavaliers,2011,2,2
Kyle Singler,Detroit Pistons,2011,2,3
Shelvin Mack,Washington Wizards,2011,2,4
Tyler Honeycutt,Sacramento Kings,2011,2,5
Jordan Williams,New Jersey Nets,2011,2,6
Trey Thompkins,Los Angeles Clippers,2011,2,7
Chandler Parsons,Houston Rockets,2011,2,8
Jeremy Tyler,Charlotte Bobcats,2011,2,9
Jon Leuer,Milwaukee Bucks,2011,2,10
Darius Morris,Los Angeles Lakers,2011,2,11
Dāvis Bertāns,Indiana Pacers,2011,2,12
Malcolm Lee,Chicago Bulls,2011,2,13
Charles Jenkins,Golden State Warriors,2011,2,14
Josh Harrellson,New Orleans Hornets,2011,2,15
Andrew Goudelock,Los Angeles Lakers,2011,2,16
Travis Leslie,Los Angeles Clippers,2011,2,17
Keith Benson,Atlanta Hawks,2011,2,18
Josh Selby,Memphis Grizzlies,2011,2,19
Lavoy Allen,Philadelphia 76ers,2011,2,20
John Wall,Washington Wizards,2010,1,1
Evan Turner,Philadelphia 76ers,2010,1,2
Derrick Favors,New Jersey Nets,2010,1,3
Wesley Johnson,Minnesota Timberwolves,2010,1,4
DeMarcus Cousins,Sacramento Kings,2010,1,5
Ekpe Udoh,Golden State Warriors,2010,1,6
Greg Monroe,Detroit Pistons,2010,1,7
Al-Farouq Aminu,Los Angeles Clippers,2010,1,8
Gordon Hayward,Utah Jazz,2010,1,9
Paul George,Indiana Pacers,2010,1,10
Cole Aldrich,New Orleans Hornets,2010,1,11
Xavier Henry,Memphis Grizzlies,2010,1,12
Ed Davis,Toronto Raptors,2010,1,13
Patrick Patterson,Houston Rockets,2010,1,14
Larry Sanders,Milwaukee Bucks,2010,1,15
Luke Babbitt,Minnesota Timberwolves,2010,1,16
Kevin Seraphin,Chicago Bulls,2010,1,17
Eric Bledsoe,Oklahoma City Thunder,2010,1,18
Avery Bradley,Boston Celtics,2010,1,19
James Anderson,San Antonio Spurs,2010,1,20
Craig Brackins,Oklahoma City Thunder,2010,1,21
Elliot Williams,Portland Trail Blazers,2010,1,22
Trevor Booker,Minnesota Timberwolves,2010,1,23
Damion James,Atlanta Hawks,2010,1,24
Dominique Jones,Memphis Grizzlies,2010,1,25
Quincy Pondexter,Oklahoma City Thunder,2010,1,26
Jordan Crawford,New Jersey Nets,2010,1,27
Greivis Vasquez,Memphis Grizzlies,2010,1,28
Daniel Orton,Orlando Magic,2010,1,29
Lazar Hayward,Washington Wizards,2010,1,30
Tibor Pleiss,New Jersey Nets,2010,2,1
Dexter Pittman,Miami Heat,2010,2,2
Hassan Whiteside,Sacramento Kings,2010,2,3
Armon Johnson,Portland Trail Blazers,2010,2,4
Nemanja Bjelica,Washington Wizards,2010,2,5
Terrico White,Detroit Pistons,2010,2,6
Darington Hobson,Milwaukee Bucks,2010,2,7
Andy Rautins,New York Knicks,2010,2,8
Landry Fields,New York Knicks,2010,2,9
Lance Stephenson,Indiana Pacers,2010,2,10
Jarvis Varnado,Miami Heat,2010,2,11
Da'Sean Butler,Miami Heat,2010,2,12
Devin Ebanks,Los Angeles Lakers,2010,2,13
Jerome Jordan,Milwaukee Bucks,2010,2,14
Paulao Prestes,Minnesota Timberwolves,2010,2,15
Gani Lawal,Phoenix Suns,2010,2,16
Tiny Gallon,Milwaukee Bucks,2010,2,17
Latavious Williams,Miami Heat,2010,2,18
Ryan Richards,San Antonio Spurs,2010,2,19
Solomon Alabi,Dallas Mavericks,2010,2,20
Blake Griffin,Los Angeles Clippers,2009,1,1
Hasheem Thabeet,Memphis Grizzlies,2009,1,2
James Harden,Oklahoma City Thunder,2009,1,3
Tyreke Evans,Sacramento Kings,2009,1,4
Ricky Rubio,Minnesota Timberwolves,2009,1,5
Jonny Flynn,Minnesota Timberwolves,2009,1,6
Stephen Curry,Golden State Warriors,2009,1,7
Jordan Hill,New York Knicks,2009,1,8
DeMar DeRozan,Toronto Raptors,2009,1,9
Brandon Jennings,Milwaukee Bucks,2009,1,10
Terrence Williams,New Jersey Nets,2009,1,11
Gerald Henderson,Charlotte Bobcats,2009,1,12
Tyler Hansbrough,Indiana Pacers,2009,1,13
Earl Clark,Phoenix Suns,2009,1,14
Austin Daye,Detroit Pistons,2009,1,15
James Johnson,Chicago Bulls,2009,1,16
Jrue Holiday,Philadelphia 76ers,2009,1,17
Ty Lawson,Minnesota Timberwolves,2009,1,18
Jeff Teague,Atlanta Hawks,2009,1,19
Eric Maynor,Utah Jazz,2009,1,20
Darren Collison,New Orleans Hornets,2009,1,21
Victor Claver,Portland Trail Blazers,2009,1,22
Omri Casspi,Sacramento Kings,2009,1,23
Byron Mullens,Dallas Mavericks,2009,1,24
Rodrigue Beaubois,Oklahoma City Thunder,2009,1,25
Taj Gibson,Chicago Bulls,2009,1,26
DeMarre Carroll,Memphis Grizzlies,2009,1,27
Wayne Ellington,Minnesota Timberwolves,2009,1,28
Toney Douglas,Los Angeles Lakers,2009,1,29
Christian Eyenga,Cleveland Cavaliers,2009,1,30
Jeff Ayres,Sacramento Kings,2009,2,1
Jermaine Taylor,Washington Wizards,2009,2,2
Dante Cunningham,Portland Trail Blazers,2009,2,3
Sergio Llull,Denver Nuggets,2009,2,4
DaJuan Summers,Detroit Pistons,2009,2,5
Sam Young,Memphis Grizzlies,2009,2,6
DeJuan Blair,San Antonio Spurs,2009,2,7
Jon Brockman,Portland Trail Blazers,2009,2,8
Jonas Jerebko,Detroit Pistons,2009,2,9
Derrick Brown,Charlotte Bobcats,2009,2,10
Jodie Meeks,Milwaukee Bucks,2009,2,11
Patrick Beverley,Los Angeles Lakers,2009,2,12
Marcus Thornton,Miami Heat,2009,2,13
Chase Budinger,Detroit Pistons,2009,2,14
Nick Calathes,Minnesota Timberwolves,2009,2,15
Danny Green,Cleveland Cavaliers,2009,2,16
Henk Norel,Minnesota Timberwolves,2009,2,17
Taylor Griffin,Phoenix Suns,2009,2,18
Sergiy Gladyr,Atlanta Hawks,2009,2,19
Goran Suton,Utah Jazz,2009,2,20
Derrick Rose,Chicago Bulls,2008,1,1
Michael Beasley,Miami Heat,2008,1,2
O.J. Mayo,Minnesota Timberwolves,2008,1,3
Russell Westbrook,Oklahoma City Thunder,2008,1,4
Kevin Love,Memphis Grizzlies,2008,1,5
Danilo Gallinari,New York Knicks,2008,1,6
Eric Gordon,Los Angeles Clippers,2008,1,7
Joe Alexander,Milwaukee Bucks,2008,1,8
D.J. Augustin,Charlotte Bobcats,2008,1,9
Brook Lopez,New Jersey Nets,2008,1,10
Jerryd Bayless,Indiana Pacers,2008,1,11
Jason Thompson,Sacramento Kings,2008,1,12
Brandon Rush,Portland Trail Blazers,2008,1,13
Anthony Randolph,Golden State Warriors,2008,1,14
Robin Lopez,Phoenix Suns,2008,1,15
Marreese Speights,Philadelphia 76ers,2008,1,16
Roy Hibbert,Toronto Raptors,2008,1,17
JaVale McGee,Washington Wizards,2008,1,18
JJ Hickson,Cleveland Cavaliers,2008,1,19
Alexis Ajinca,Charlotte Bobcats,2008,1,20
Ryan Anderson,New Jersey Nets,2008,1,21
Courtney Lee,Orlando Magic,2008,1,22
Kosta Koufos,Utah Jazz,2008,1,23
Serge Ibaka,Oklahoma City Thunder,2008,1,24
Nicolas Batum,Houston Rockets,2008,1,25
George Hill,San Antonio Spurs,2008,1,26
Darrell Arthur,New Orleans Hornets,2008,1,27
Donte Greene,Memphis Grizzlies,2008,1,28
DJ White,Detroit Pistons,2008,1,29
J.R. Giddens,Boston Celtics,2008,1,30
Nikola Pekovic,Minnesota Timberwolves,2008,2,1
Walter Sharpe,Oklahoma City Thunder,2008,2,2
Joey Dorsey,Portland Trail Blazers,2008,2,3
Mario Chalmers,Minnesota Timberwolves,2008,2,4
DeAndre Jordan,Los Angeles Clippers,2008,2,5
Omer Asik,Portland Trail Blazers,2008,2,6
Luc Mbah a Moute,Milwaukee Bucks,2008,2,7
Kyle Weaver,Charlotte Bobcats,2008,2,8
Sonny Weems,Chicago Bulls,2008,2,9
Chris Douglas-Roberts,New Jersey Nets,2008,2,10
Nathan Jawai,Indiana Pacers,2008,2,11
Sean Singletary,Sacramento Kings,2008,2,12
Patrick Ewing,Sacramento Kings,2008,2,13
Ante Tomic,Utah Jazz,2008,2,14
Goran Dragic,San Antonio Spurs,2008,2,15
Trent Plaisted,Oklahoma City Thunder,2008,2,16
Henry Walker,Washington Wizards,2008,2,17
Malik Hairston,Phoenix Suns,2008,2,18
Richard Hendrix,Golden State Warriors,2008,2,19
DeVon Hardin,Oklahoma City Thunder,2008,2,20
Greg Oden,Portland Trail Blazers,2007,1,1
Kevin Durant,Seattle SuperSonics,2007,1,2
Al Horford,Atlanta Hawks,2007,1,3
Mike Conley,Memphis Grizzlies,2007,1,4
Jeff Green,Boston Celtics,2007,1,5
Yi Jianlian,Milwaukee Bucks,2007,1,6
Corey Brewer,Minnesota Timberwolves,2007,1,7
Brandan Wright,Charlotte Bobcats,2007,1,8
Joakim Noah,Chicago Bulls,2007,1,9
Spencer Hawes,Sacramento Kings,2007,1,10
Acie Law,Atlanta Hawks,2007,1,11
Thaddeus Young,Philadelphia 76ers,2007,1,12
Julian Wright,New Orleans Hornets,2007,1,13
Al Thornton,Los Angeles Clippers,2007,1,14
Rodney Stuckey,Detroit Pistons,2007,1,15
Nick Young,Washington Wizards,2007,1,16
Sean Williams,New Jersey Nets,2007,1,17
Marco Belinelli,Golden State Warriors,2007,1,18
Javaris Crittenton,Los Angeles Lakers,2007,1,19
Jason Smith,Miami Heat,2007,1,20
Daequan Cook,Philadelphia 76ers,2007,1,21
Jared Dudley,Charlotte Bobcats,2007,1,22
Wilson Chandler,New York Knicks,2007,1,23
Rudy Fernandez,Phoenix Suns,2007,1,24
Morris Almond,Utah Jazz,2007,1,25
Aaron Brooks,Houston Rockets,2007,1,26
Arron Afflalo,Detroit Pistons,2007,1,27
Tiago Splitter,San Antonio Spurs,2007,1,28
Alando Tucker,Phoenix Suns,2007,1,29
Petteri Koponen,Philadelphia 76ers,2007,1,30
Carl Landry,Seattle SuperSonics,2007,2,1
Gabe Pruitt,Boston Celtics,2007,2,2
Marcus Williams,San Antonio Spurs,2007,2,3
Nick Fazekas,Dallas Mavericks,2007,2,4
Glen Davis,Seattle SuperSonics,2007,2,5
Jermareo Davidson,Golden State Warriors,2007,2,6
Josh McRoberts,Portland Trail Blazers,2007,2,7
Kyrylo Fesenko,Philadelphia 76ers,2007,2,8
Stanko Barac,Miami Heat,2007,2,9
Sun Sun,Los Angeles Lakers,2007,2,10
Chris Richard,Minnesota Timberwolves,2007,2,11
Derrick Byars,Portland Trail Blazers,2007,2,12
Adam Haluska,New Orleans Hornets,2007,2,13
Reyshawn Terry,Orlando Magic,2007,2,14
Jared Jordan,Los Angeles Clippers,2007,2,15
Stephane Lasme,Golden State Warriors,2007,2,16
Dominic McGuire,Washington Wizards,2007,2,17
Marc Gasol,Los Angeles Lakers,2007,2,18
Aaron Gray,Chicago Bulls,2007,2,19
Renaldas Seibutis,Dallas Mavericks,2007,2,20
Andrea Bargnani,Toronto Raptors,2006,1,1
LaMarcus Aldridge,Chicago Bulls,2006,1,2
Adam Morrison,Charlotte Bobcats,2006,1,3
Tyrus Thomas,Portland Trail Blazers,2006,1,4
Shelden Williams,Atlanta Hawks,2006,1,5
Brandon Roy,Minnesota Timberwolves,2006,1,6
Randy Foye,Boston Celtics,2006,1,7
Rudy Gay,Houston Rockets,2006,1,8
Patrick O'Bryant,Golden State Warriors,2006,1,9
Mouhamed Sene,Seattle SuperSonics,2006,1,10
JJ Redick,Orlando Magic,2006,1,11
Hilton Armstrong,New Orleans/Oklahoma City Hornets,2006,1,12
Thabo Sefolosha,Philadelphia 76ers,2006,1,13
Ronnie Brewer,Utah Jazz,2006,1,14
Cedric Simmons,New Orleans/Oklahoma City Hornets,2006,1,15
Rodney Carney,Chicago Bulls,2006,1,16
Shawne Williams,Indiana Pacers,2006,1,17
Oleksiy Pecherov,Washington Wizards,2006,1,18
Quincy Douby,Sacramento Kings,2006,1,19
Renaldo Balkman,New York Knicks,2006,1,20
Rajon Rondo,Phoenix Suns,2006,1,21
Marcus Williams,New Jersey Nets,2006,1,22
Josh Boone,New Jersey Nets,2006,1,23
Kyle Lowry,Memphis Grizzlies,2006,1,24
Shannon Brown,Cleveland Cavaliers,2006,1,25
Jordan Farmar,Los Angeles Lakers,2006,1,26
Sergio Rodriguez,Phoenix Suns,2006,1,27
Maurice Ager,Dallas Mavericks,2006,1,28
Mardy Collins,New York Knicks,2006,1,29
Joel Freeland,Portland Trail Blazers,2006,1,30
James White,Portland Trail Blazers,2006,2,1
Steve Novak,Houston Rockets,2006,2,2
Solomon Jones,Atlanta Hawks,2006,2,3
Paul Davis,Los Angeles Clippers,2006,2,4
P.J. Tucker,Toronto Raptors,2006,2,5
Craig Smith,Minnesota Timberwolves,2006,2,6
Bobby Jones,Minnesota Timberwolves,2006,2,7
Kosta Perovic,Golden State Warriors,2006,2,8
David Noel,Milwaukee Bucks,2006,2,9
Denham Brown,Seattle SuperSonics,2006,2,10
James Augustine,Orlando Magic,2006,2,11
Daniel Gibson,Cleveland Cavaliers,2006,2,12
Marcus Vinicius,New Orleans/Oklahoma City Hornets,2006,2,13
Lior Eliyahu,Orlando Magic,2006,2,14
Alexander Johnson,Indiana Pacers,2006,2,15
Dee Brown,Utah Jazz,2006,2,16
Paul Millsap,Utah Jazz,2006,2,17
Vladimir Veremeenko,Washington Wizards,2006,2,18
Leon Powe,Denver Nuggets,2006,2,19
Ryan Hollins,Charlotte Bobcats,2006,2,20
Andrew Bogut,Milwaukee Bucks,2005,1,1
Marvin Williams,Atlanta Hawks,2005,1,2
Deron Williams,Utah Jazz,2005,1,3
Chris Paul,New Orleans/Oklahoma City Hornets,2005,1,4
Raymond Felton,Charlotte Bobcats,2005,1,5
Martell Webster,Portland Trail Blazers,2005,1,6
Charlie Villanueva,Toronto Raptors,2005,1,7
Channing Frye,New York Knicks,2005,1,8
Ike Diogu,Golden State Warriors,2005,1,9
Andrew Bynum,Los Angeles Lakers,2005,1,10
Fran Vazquez,Orlando Magic,2005,1,11
Yaroslav Korolev,Los Angeles Clippers,2005,1,12
Sean May,Charlotte Bobcats,2005,1,13
Rashad McCants,Minnesota Timberwolves,2005,1,14
Antoine Wright,New Jersey Nets,2005,1,15
Joey Graham,Toronto Raptors,2005,1,16
Danny Granger,Indiana Pacers,2005,1,17
Gerald Green,Boston Celtics,2005,1,18
Hakim Warrick,Memphis Grizzlies,2005,1,19
Julius Hodge,Denver Nuggets,2005,1,20
Nate Robinson,Phoenix Suns,2005,1,21
Jarrett Jack,Denver Nuggets,2005,1,22
Francisco Garcia,Sacramento Kings,2005,1,23
Luther Head,Houston Rockets,2005,1,24
Johan Petro,Seattle SuperSonics,2005,1,25
Jason Maxiell,Detroit Pistons,2005,1,26
Linas Kleiza,Portland Trail Blazers,2005,1,27
Ian Mahinmi,San Antonio Spurs,2005,1,28
Wayne Simien,Miami Heat,2005,1,29
David Lee,New York Knicks,2005,1,30
Salim Stoudamire,Atlanta Hawks,2005,2,1
Daniel Ewing,Los Angeles Clippers,2005,2,2
Brandon Bass,New Orleans/Oklahoma City Hornets,2005,2,3
CJ Miles,Utah Jazz,2005,2,4
Ricky Sanchez,Portland Trail Blazers,2005,2,5
Ersan Ilyasova,Milwaukee Bucks,2005,2,6
Ronny Turiaf,Los Angeles Lakers,2005,2,7
Travis Diener,Orlando Magic,2005,2,8
Von Wafer,Los Angeles Lakers,2005,2,9
Monta Ellis,Golden State Warriors,2005,2,10
Roko Ukic,Toronto Raptors,2005,2,11
Chris Taft,Golden State Warriors,2005,2,12
Mile Ilic,New Jersey Nets,2005,2,13
Martynas Andriuskevicius,Orlando Magic,2005,2,14
Lou Williams,Philadelphia 76ers,2005,2,15
Erazem Lorbek,Indiana Pacers,2005,2,16
Bracey Wright,Minnesota Timberwolves,2005,2,17
Mickael Gelabale,Seattle SuperSonics,2005,2,18
Andray Blatche,Washington Wizards,2005,2,19
Ryan Gomes,Boston Celtics,2005,2,20
Dwight Howard,Orlando Magic,2004,1,1
Emeka Okafor,Charlotte Bobcats,2004,1,2
Ben Gordon,Chicago Bulls,2004,1,3
Shaun Livingston,Los Angeles Clippers,2004,1,4
Devin Harris,Washington Wizards,2004,1,5
Josh Childress,Atlanta Hawks,2004,1,6
Luol Deng,Phoenix Suns,2004,1,7
Rafael Araujo,Toronto Raptors,2004,1,8
Andre Iguodala,Philadelphia 76ers,2004,1,9
Luke Jackson,Cleveland Cavaliers,2004,1,10
Andris Biedrins,Golden State Warriors,2004,1,11
Robert Swift,Seattle SuperSonics,2004,1,12
Sebastian Telfair,Portland Trail Blazers,2004,1,13
Kris Humphries,Utah Jazz,2004,1,14
Al Jefferson,Boston Celtics,2004,1,15
Kirk Snyder,Utah Jazz,2004,1,16
Josh Smith,Atlanta Hawks,2004,1,17
JR Smith,New Orleans Hornets,2004,1,18
Dorell Wright,Miami Heat,2004,1,19
Jameer Nelson,Denver Nuggets,2004,1,20
Pavel Podkolzin,Utah Jazz,2004,1,21
Viktor Khryapa,New Jersey Nets,2004,1,22
Sergei Monia,Portland Trail Blazers,2004,1,23
Delonte West,Boston Celtics,2004,1,24
Tony Allen,Boston Celtics,2004,1,25
Kevin Martin,Sacramento Kings,2004,1,26
Sasha Vujacic,Los Angeles Lakers,2004,1,27
Beno Udrih,San Antonio Spurs,2004,1,28
David Harrison,Indiana Pacers,2004,1,29
Anderson Varejao,Orlando Magic,2004,2,1
Jackson Vroman,Chicago Bulls,2004,2,2
Peter John Ramos,Washington Wizards,2004,2,3
Lionel Chalmers,Los Angeles Clippers,2004,2,4
Donta Smith,Atlanta Hawks,2004,2,5
Andre Emmett,Seattle SuperSonics,2004,2,6
Antonio Burks,Orlando Magic,2004,2,7
Royal Ivey,Atlanta Hawks,2004,2,8
Chris Duhon,Chicago Bulls,2004,2,9
Albert Miralles,Toronto Raptors,2004,2,10
Justin Reed,Boston Celtics,2004,2,11
David Young,Seattle SuperSonics,2004,2,12
Viktor Sanikidze,Atlanta Hawks,2004,2,13
Trevor Ariza,New York Knicks,2004,2,14
Tim Pickett,New Orleans Hornets,2004,2,15
Bernard Robinson,Charlotte Bobcats,2004,2,16
Ha Ha,Portland Trail Blazers,2004,2,17
Pape Sow,Miami Heat,2004,2,18
Ricky Minard,Sacramento Kings,2004,2,19
Sergei Lishouk,Memphis Grizzlies,2004,2,20
Vassilis Spanoulis,Dallas Mavericks,2004,2,21
LeBron James,Cleveland Cavaliers,2003,1,1
Darko Milicic,Detroit Pistons,2003,1,2
Carmelo Anthony,Denver Nuggets,2003,1,3
Chris Bosh,Toronto Raptors,2003,1,4
Dwyane Wade,Miami Heat,2003,1,5
Chris Kaman,Los Angeles Clippers,2003,1,6
Kirk Hinrich,Chicago Bulls,2003,1,7
T.J. Ford,Milwaukee Bucks,2003,1,8
Michael Sweetney,New York Knicks,2003,1,9
Jarvis Hayes,Washington Wizards,2003,1,10
Mickael Pietrus,Golden State Warriors,2003,1,11
Nick Collison,Seattle SuperSonics,2003,1,12
Marcus Banks,Memphis Grizzlies,2003,1,13
Luke Ridnour,Seattle SuperSonics,2003,1,14
Reece Gaines,Orlando Magic,2003,1,15
Troy Bell,Boston Celtics,2003,1,16
Zarko Cabarkapa,Phoenix Suns,2003,1,17
David West,New Orleans Hornets,2003,1,18
Sasha Pavlovic,Utah Jazz,2003,1,19
Dahntay Jones,Boston Celtics,2003,1,20
Boris Diaw,Atlanta Hawks,2003,1,21
Zoran Planinic,New Jersey Nets,2003,1,22
Travis Outlaw,Portland Trail Blazers,2003,1,23
Brian Cook,Los Angeles Lakers,2003,1,24
Carlos Delfino,Detroit Pistons,2003,1,25
Ndudi Ebi,Minnesota Timberwolves,2003,1,26
Kendrick Perkins,Memphis Grizzlies,2003,1,27
Leandro Barbosa,San Antonio Spurs,2003,1,28
Josh Howard,Dallas Mavericks,2003,1,29
Maciej Lampe,New York Knicks,2003,2,1
Jason Kapono,Cleveland Cavaliers,2003,2,2
Luke Walton,Los Angeles Lakers,2003,2,3
Jerome Beasley,Miami Heat,2003,2,4
Sofoklis Schortsanitis,Los Angeles Clippers,2003,2,5
Szymon Szewczyk,Milwaukee Bucks,2003,2,6
Mario Austin,Chicago Bulls,2003,2,7
Travis Hansen,Atlanta Hawks,2003,2,8
Steve Blake,Washington Wizards,2003,2,9
Slavko Vranes,New York Knicks,2003,2,10
Derrick Zimmerman,Golden State Warriors,2003,2,11
Willie Green,Seattle SuperSonics,2003,2,12
Zaza Pachulia,Orlando Magic,2003,2,13
Keith Bogans,Milwaukee Bucks,2003,2,14
