14183,10/30/09,Pistons,, Richard Hamilton,placed on IL with sprained right ankle
14184,10/30/09,Pistons, Chucky Atkins,,activated from IL
14185,10/30/09,Timberwolves,, Jason Hart,placed on IL
14186,10/30/09,Timberwolves, Nathan Jawai,,activated from IL
14187,10/31/09,Cavaliers,, Coby Karl,placed on IL
14188,10/31/09,Clippers,, Ricky Davis,placed on IL
14189,10/31/09,Clippers, Mardy Collins,,activated from IL
14190,10/31/09,Rockets,, Joey Dorsey,placed on IL
14191,10/31/09,Rockets, Brian Cook,,activated from IL
14192,10/31/09,Wizards,, Caron Butler,placed on IL with bruised left kneecap
14193,10/31/09,Wizards, Paul Davis,,activated from IL
14194,11/1/09,Heat,, Daequan Cook,placed on IL with strained right shoulder
14195,11/1/09,Heat, James Jones (Andrew),,activated from IL
14196,11/1/09,Raptors,, Marcus Banks,placed on IL
14197,11/1/09,Raptors, Sonny Weems,,activated from IL
14198,11/2/09,Bobcats,, Derrick Brown,placed on IL
14199,11/2/09,Bobcats, Raja Bell,,activated from IL
14200,11/2/09,Clippers,, Steve Novak,placed on IL
14201,11/2/09,Clippers, Ricky Davis,,activated from IL
14202,11/2/09,Grizzlies,, Hamed Haddadi,placed on IL
14203,11/2/09,Grizzlies, Allen Iverson,,activated from IL
14204,11/2/09,Kings, Kenny Thomas,,activated from IL (date 11-04 per P)
14205,11/3/09,Bucks,, Michael Redd,placed on IL with strained tendon in left knee
14206,11/3/09,Bucks, Jodie Meeks,,activated from IL
14207,11/3/09,Pacers,, Jeff Foster,placed on IL with sprained right ankle
14208,11/3/09,Pacers, Travis Diener,,activated from IL
14209,11/3/09,Pistons,, Tayshaun Prince,placed on IL with back injury
14210,11/3/09,Pistons, DaJuan Summers,,activated from IL
14211,11/3/09,Suns,, Leandro Barbosa,placed on IL with sore right wrist
14212,11/3/09,Suns, Taylor Griffin,,activated from IL
14213,11/3/09,Wizards,, Paul Davis,placed on IL
14214,11/3/09,Wizards, Caron Butler,,activated from IL
14215,11/4/09,Kings,, Donte Greene,placed on IL
14216,11/4/09,Nuggets,, Joey Graham,placed on IL with sprained right big toe
14217,11/4/09,Nuggets, Johan Petro,,activated from IL
14218,11/4/09,Raptors,, Sonny Weems,placed on IL with sore left knee
14219,11/4/09,Raptors, Marcus Banks,,activated from IL
14220,11/4/09,Rockets,, Chase Budinger,placed on IL with sprained left ankle
14221,11/4/09,Rockets, Joey Dorsey,,activated from IL
14222,11/5/09,Cavaliers,, Jawad Williams,placed on IL
14223,11/5/09,Cavaliers, Danny Green,,activated from IL
14224,11/6/09,Bobcats,, Alexis Ajinca / Alex Ajinca,placed on IL
14225,11/6/09,Bobcats,, DeSagana Diop,placed on IL
14226,11/6/09,Bobcats, Derrick Brown,,activated from IL
14227,11/6/09,Bobcats, Ronald Murray / Flip Murray,,activated from IL
14228,11/6/09,Clippers,, Mardy Collins,placed on IL
14229,11/6/09,Clippers, Steve Novak,,activated from IL
14230,11/6/09,Grizzlies, Hamed Haddadi,,activated from IL
14231,11/6/09,Hornets,, Devin Brown,placed on IL
14232,11/6/09,Hornets, Marcus Thornton (T.),,activated from IL
14233,11/6/09,Nuggets,, J.R. Smith,placed on IL with suspension
14234,11/6/09,Nuggets, Joey Graham,,activated from IL
14235,11/6/09,Pacers,, Troy Murphy,placed on IL with back injury
14236,11/6/09,Pacers, Tyler Hansbrough,,activated from IL
14237,11/6/09,Raptors,, Marcus Banks,placed on IL
14238,11/6/09,Raptors, Sonny Weems,,activated from IL
14239,11/6/09,Rockets,, Joey Dorsey,placed on IL
14240,11/6/09,Rockets, Chase Budinger,,activated from IL
14241,11/6/09,Wizards,, Mike Miller,placed on IL with left shoulder injury
14242,11/6/09,Wizards, Paul Davis,,activated from IL
14243,11/7/09,Bobcats,, Derrick Brown,placed on IL
14244,11/7/09,Bobcats, Alexis Ajinca / Alex Ajinca,,activated from IL
14245,11/7/09,Kings,, Kevin Martin,placed on IL recovering from surgery on left wrist to repair stress fracture
14246,11/7/09,Kings, Donte Greene,,activated from IL
14247,11/7/09,Mavericks,, Drew Gooden,placed on IL with strained right rib muscle
14248,11/7/09,Mavericks, Josh Howard,,activated from IL
14249,11/7/09,Raptors,, Sonny Weems,placed on IL
14250,11/7/09,Raptors, Marcus Banks,,activated from IL
14251,11/7/09,Bulls,, Tyrus Thomas,placed on IL recovering from surgery on broken left forearm
14252,11/8/09,Hornets,, Morris Peterson,placed on IL
14253,11/8/09,Hornets, Devin Brown,,activated from IL
14254,11/8/09,Suns,, Taylor Griffin,placed on IL
14255,11/8/09,Suns, Leandro Barbosa,,activated from IL
14256,11/9/09,Clippers,, Eric Gordon,placed on IL with sore left groin
14257,11/9/09,Clippers, Mardy Collins,,activated from IL
14258,11/9/09,Raptors,, Marcus Banks,placed on IL
14259,11/9/09,Raptors, Sonny Weems,,activated from IL
14260,11/9/09,Spurs,, (William) Tony Parker,placed on IL with sprained left ankle
14261,11/9/09,Spurs,, Tim Duncan,placed on IL with sore left ankle
14262,11/9/09,Spurs, Malik Hairston,,activated from IL
14263,11/9/09,Spurs, Marcus Haislip,,activated from IL
14264,11/10/09,Bobcats,, Alexis Ajinca / Alex Ajinca,placed on IL
14265,11/10/09,Bobcats, DeSagana Diop,,activated from IL
14266,11/10/09,Heat,, Yakhouba Diawara,placed on IL
14267,11/10/09,Heat, Daequan Cook,,activated from IL
14268,11/10/09,Mavericks,, Matt Carroll,placed on IL
14269,11/10/09,Mavericks, Drew Gooden,,activated from IL
14270,11/10/09,Nuggets,, Johan Petro,placed on IL
14271,11/10/09,Thunder,, Shaun Livingston,placed on IL
14272,11/10/09,Thunder, Kyle Weaver,,activated from IL
14273,11/10/09,Nuggets, J.R. Smith,,activated from IL
14274,11/11/09,Bobcats,, DeSagana Diop,placed on IL
14275,11/11/09,Bobcats,, Raja Bell,placed on IL with calf injury
14276,11/11/09,Bobcats, Alexis Ajinca / Alex Ajinca,,activated from IL
14277,11/11/09,Bobcats, Derrick Brown,,activated from IL
14278,11/11/09,Cavaliers, Coby Karl,,activated from IL
14279,11/11/09,Celtics,, Brian Scalabrine,placed on IL with back spasms
14280,11/11/09,Celtics, Bill Walker / Henry Walker,,activated from IL
14281,11/11/09,Nuggets,, Renaldo Balkman,placed on IL
14282,11/11/09,Nuggets, Johan Petro,,activated from IL
14283,11/13/09,Celtics,, Bill Walker / Henry Walker,placed on IL
14284,11/13/09,Celtics, Brian Scalabrine,,activated from IL
14285,11/13/09,Hornets,, Bobby Brown,placed on IL
14286,11/13/09,Hornets, Sean Marks,,activated from IL
14287,11/13/09,Mavericks,, Josh Howard,placed on IL with sore left ankle
14288,11/13/09,Mavericks, Matt Carroll,,activated from IL
14289,11/13/09,Nuggets,, Anthony Carter,placed on IL with strained left hip
14290,11/13/09,Nuggets, Renaldo Balkman,,activated from IL
14291,11/13/09,Timberwolves, Jason Hart,,activated from IL
14292,11/14/09,Bobcats,, Alexis Ajinca / Alex Ajinca,placed on IL
14293,11/14/09,Bobcats, Raja Bell,,activated from IL
14294,11/14/09,Cavaliers,, Shaquille O'Neal,placed on IL with strained shoulder
14295,11/14/09,Cavaliers, Jawad Williams,,activated from IL
14296,11/14/09,Heat,, Jermaine O'Neal,placed on IL with bruised left hip
14297,11/14/09,Heat, Yakhouba Diawara,,activated from IL
14298,11/14/09,Hornets,, Chris Paul,placed on IL with sprained left ankle
14299,11/14/09,Hornets, Bobby Brown,,activated from IL
14300,11/14/09,Spurs,, Malik Hairston,placed on IL
14301,11/14/09,Spurs,, Marcus Haislip,placed on IL
14302,11/14/09,Spurs, (William) Tony Parker,,activated from IL
14303,11/14/09,Spurs, Tim Duncan,,activated from IL
14304,11/14/09,Wizards,, Mike James (Lamont),placed on IL with broken left ring finger
14305,11/14/09,Wizards, Mike Miller,,activated from IL
14306,11/14/09,Grizzlies,, Jamaal Tinsley,placed on IL
14307,11/15/09,Raptors,, Antoine Wright,placed on IL with sprained left ankle
14308,11/15/09,Raptors, Marcus Banks,,activated from IL
14309,11/17/09,Cavaliers,, Anderson Varejao,placed on IL with bruised hip
14310,11/17/09,Clippers,, Mardy Collins,placed on IL
14311,11/17/09,Clippers, Brian Skinner,,activated from IL
14312,11/17/09,Heat,, Yakhouba Diawara,placed on IL
14313,11/17/09,Heat, Jermaine O'Neal,,activated from IL
14314,11/17/09,Hornets,, Hilton Armstrong,placed on IL with sprained right shoulder
14315,11/17/09,Hornets, Morris Peterson,,activated from IL
14316,11/17/09,Raptors,, Hidayet Turkoglu / Hedo Turkoglu,placed on IL with sore left hip
14317,11/17/09,Raptors,, Marcus Banks,placed on IL
14318,11/17/09,Raptors, Antoine Wright,,activated from IL
14319,11/18/09,76ers,, Marreese Speights,placed on IL with partially torn MCL in left knee
14320,11/18/09,76ers, Primoz Brezec,,activated from IL
14321,11/18/09,Bobcats,, Acie Law,placed on IL
14322,11/18/09,Bobcats, Alexis Ajinca / Alex Ajinca,,activated from IL
14323,11/18/09,Bucks,, Luc Richard Mbah a Moute / Luc Mbah a Moute,placed on IL with sprained left foot
14324,11/18/09,Bucks, Francisco Elson,,activated from IL
14325,11/18/09,Clippers, Mardy Collins,,activated from IL
14326,11/18/09,Grizzlies, Jamaal Tinsley,,activated from IL
14327,11/18/09,Heat,, Udonis Haslem,placed on IL with sore left shoulder
14328,11/18/09,Heat, Shavlik Randolph,,activated from IL
14329,11/18/09,Knicks,, Marcus Landry,placed on IL
14330,11/18/09,Knicks, Eddy Curry,,activated from IL
14331,11/18/09,Mavericks,, Erick Dampier,placed on IL with illness
14332,11/18/09,Mavericks, Tim Thomas,,activated from IL
14333,11/18/09,Raptors,, Antoine Wright,placed on IL with left ankle injury
14334,11/18/09,Raptors, Hidayet Turkoglu / Hedo Turkoglu,,activated from IL
14335,11/18/09,Spurs,, (William) Tony Parker,placed on IL with sprained left ankle
14336,11/18/09,Spurs, Malik Hairston,,activated from IL
14337,11/18/09,Timberwolves,, Jason Hart,placed on IL
14338,11/18/09,Wizards,, Fabricio Oberto,placed on IL with left hamstring injury
14339,11/18/09,Wizards, Antawn Jamison,,activated from IL
14340,11/19/09,Lakers,, Luke Walton,placed on IL with surgery on back
14341,11/19/09,Lakers, Pau Gasol,,activated from IL
14342,11/19/09,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with strained left groin
14343,11/19/09,Spurs, Ian Mahinmi,,activated from IL
14344,11/20/09,Bobcats,, Tyson Chandler,placed on IL with back injury
14345,11/20/09,Bobcats, DeSagana Diop,,activated from IL
14346,11/20/09,Bucks,, Andrew Bogut,placed on IL with strained ligament in left calf
14347,11/20/09,Cavaliers,, Coby Karl,placed on IL
14348,11/20/09,Cavaliers, Anderson Varejao,,activated from IL
14349,11/20/09,Heat,, Quentin Richardson,placed on IL with sore back
14350,11/20/09,Heat, Yakhouba Diawara,,activated from IL
14351,11/20/09,Nuggets,, Chris Andersen,placed on IL with right knee injury
14352,11/20/09,Nuggets, Anthony Carter,,activated from IL
14353,11/20/09,Pacers, Troy Murphy,,activated from IL
14354,11/20/09,Bucks, Luc Richard Mbah a Moute / Luc Mbah a Moute,,activated from IL
14355,11/20/09,Pacers,, Travis Diener,placed on IL recovering from surgery on left big toe
14356,11/21/09,Hornets,, Sean Marks,placed on IL
14357,11/21/09,Hornets, Hilton Armstrong,,activated from IL
14358,11/21/09,Nuggets,, Johan Petro,placed on IL
14359,11/21/09,Nuggets, Chris Andersen,,activated from IL
14360,11/21/09,Spurs,, Ian Mahinmi,placed on IL
14361,11/21/09,Spurs, (William) Tony Parker,,activated from IL
14362,11/21/09,Wizards,, Nick Young,placed on IL
14363,11/21/09,Wizards, Fabricio Oberto,,activated from IL
14364,11/22/09,Heat,, Jamaal Magloire,placed on IL
14365,11/22/09,Heat, Udonis Haslem,,activated from IL
14366,11/22/09,Hornets,, Hilton Armstrong,placed on IL with sprained right shoulder
